Demographics- race of respondent (PTDTRACE),Total,No Response,Refused,Don't Know,Not in Universe,Yes,No
Asian-HP,0,0,0,0,0,0,0
W-B-AI,7796,0,0,0,4796,3000,0
W-B-A,0,0,0,0,0,0,0
W-B-HP,0,0,0,0,0,0,0
W-AI-A,0,0,0,0,0,0,0
W-AI-HP,0,0,0,0,0,0,0
W-A-HP,0,0,0,0,0,0,0
B-AI-A,0,0,0,0,0,0,0
W-B-AI-A,0,0,0,0,0,0,0
W-AI-A-HP,0,0,0,0,0,0,0
Other 3 Race Combinations,0,0,0,0,0,0,0
Other 4 and 5 Race Combinations,0,0,0,0,0,0,0
 -> Total -> Total Kentucky,3507031,340200,29657,41889,279818,2207170,608297
White only,3099072,313521,24182,38417,209104,1994855,518993
Black only,270922,15886,5475,0,49135,138501,61925
"American Indian, Alaskan Native Only",15678,0,0,0,0,11067,4611
Asian only,45524,3147,0,3472,14631,24274,0
Hawaiian/Pacific Islander Only,0,0,0,0,0,0,0
White-Black,50143,7646,0,0,6948,21097,14452
White-AI,17376,0,0,0,0,17376,0
White-Asian,0,0,0,0,0,0,0
White-HP,4579,0,0,0,0,0,4579
Black-AI,0,0,0,0,0,0,0
Black-Asian,0,0,0,0,0,0,0
Black-HP,0,0,0,0,0,0,0
AI-Asian,0,0,0,0,0,0,0
AI-HP,0,0,0,0,0,0,0
Asian-HP,0,0,0,0,0,0,0
W-B-AI,0,0,0,0,0,0,0
W-B-A,3737,0,0,0,0,0,3737
W-B-HP,0,0,0,0,0,0,0
W-AI-A,0,0,0,0,0,0,0
W-AI-HP,0,0,0,0,0,0,0
W-A-HP,0,0,0,0,0,0,0
B-AI-A,0,0,0,0,0,0,0
W-B-AI-A,0,0,0,0,0,0,0
W-AI-A-HP,0,0,0,0,0,0,0
Other 3 Race Combinations,0,0,0,0,0,0,0
Other 4 and 5 Race Combinations,0,0,0,0,0,0,0
 -> Total -> Total Louisiana,3572541,588822,46966,25407,273191,2038483,599672
White only,2286215,359333,32305,9159,167607,1359819,357992
Black only,1120442,209986,14661,16248,69454,607020,203073
"American Indian, Alaskan Native Only",13714,1914,0,0,0,7306,4494
Asian only,88007,9725,0,0,31599,22707,23976
Hawaiian/Pacific Islander Only,8578,3922,0,0,0,4656,0
White-Black,23804,0,0,0,2524,14341,6939
White-AI,23968,3942,0,0,0,20026,0
White-Asian,5205,0,0,0,2007,0,3198
White-HP,0,0,0,0,0,0,0
Black-AI,0,0,0,0,0,0,0
Black-Asian,2608,0,0,0,0,2608,0
Black-HP,0,0,0,0,0,0,0
AI-Asian,0,0,0,0,0,0,0
AI-HP,0,0,0,0,0,0,0
Asian-HP,0,0,0,0,0,0,0
W-B-AI,0,0,0,0,0,0,0
W-B-A,0,0,0,0,0,0,0
W-B-HP,0,0,0,0,0,0,0
W-AI-A,0,0,0,0,0,0,0
W-AI-HP,0,0,0,0,0,0,0
W-A-HP,0,0,0,0,0,0,0
B-AI-A,0,0,0,0,0,0,0
W-B-AI-A,0,0,0,0,0,0,0
W-AI-A-HP,0,0,0,0,0,0,0
Other 3 Race Combinations,0,0,0,0,0,0,0
Other 4 and 5 Race Combinations,0,0,0,0,0,0,0
 -> Total -> Total Maine,1118888,106703,2809,10962,43940,768168,186306
White only,1067646,103287,1454,10962,36088,741143,174712
Black only,12805,993,0,0,4992,3822,2998
"American Indian, Alaskan Native Only",5942,0,0,0,0,3629,2313
Asian only,10424,0,0,0,2860,6352,1212
Hawaiian/Pacific Islander Only,0,0,0,0,0,0,0
White-Black,1715,0,0,0,0,1715,0
White-AI,11060,2423,1355,0,0,5574,1708
White-Asian,7602,0,0,0,0,5933,1669
White-HP,1694,0,0,0,0,0,1694
Black-AI,0,0,0,0,0,0,0
Black-Asian,0,0,0,0,0,0,0
Black-HP,0,0,0,0,0,0,0
AI-Asian,0,0,0,0,0,0,0
AI-HP,0,0,0,0,0,0,0
Asian-HP,0,0,0,0,0,0,0
W-B-AI,0,0,0,0,0,0,0
W-B-A,0,0,0,0,0,0,0
W-B-HP,0,0,0,0,0,0,0
W-AI-A,0,0,0,0,0,0,0
W-AI-HP,0,0,0,0,0,0,0
W-A-HP,0,0,0,0,0,0,0
B-AI-A,0,0,0,0,0,0,0
W-B-AI-A,0,0,0,0,0,0,0
W-AI-A-HP,0,0,0,0,0,0,0
Other 3 Race Combinations,0,0,0,0,0,0,0
Other 4 and 5 Race Combinations,0,0,0,0,0,0,0
 -> Total -> Total Maryland,4780007,576191,17009,25817,475583,3166773,518634
White only,2860600,369919,11775,4857,210930,1918048,345071
Black only,1466409,187229,0,10004,176685,969824,122667
"American Indian, Alaskan Native Only",27484,0,0,0,4370,23114,0
Asian only,316209,19043,5234,10956,75674,154406,50896
Hawaiian/Pacific Islander Only,6012,0,0,0,0,6012,0
White-Black,38117,0,0,0,0,38117,0
White-AI,13176,0,0,0,0,13176,0
White-Asian,28937,0,0,0,7924,21013,0
White-HP,0,0,0,0,0,0,0
Black-AI,0,0,0,0,0,0,0
Black-Asian,13293,0,0,0,0,13293,0
Black-HP,0,0,0,0,0,0,0
AI-Asian,0,0,0,0,0,0,0
AI-HP,0,0,0,0,0,0,0
Asian-HP,0,0,0,0,0,0,0
W-B-AI,9770,0,0,0,0,9770,0
W-B-A,0,0,0,0,0,0,0
W-B-HP,0,0,0,0,0,0,0
W-AI-A,0,0,0,0,0,0,0
W-AI-HP,0,0,0,0,0,0,0
W-A-HP,0,0,0,0,0,0,0
B-AI-A,0,0,0,0,0,0,0
W-B-AI-A,0,0,0,0,0,0,0
W-AI-A-HP,0,0,0,0,0,0,0
Other 3 Race Combinations,0,0,0,0,0,0,0
Other 4 and 5 Race Combinations,0,0,0,0,0,0,0
 -> Total -> Total Massachusetts,5667493,821714,94315,71251,768381,3246606,665226
White only,4573568,594676,46602,39340,432489,2935435,525026
Black only,491137,139408,27975,14905,98761,141074,69014
"American Indian, Alaskan Native Only",6835,0,0,0,0,6835,0
Asian only,414946,64917,3815,7192,173215,108786,57021
